City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hami,CN,2023-01-25 23:59:46,42.8,93.45,10.9,43,0,7.72
67,Husavik,IS,2023-01-25 23:59:46,66.0449,-17.3389,30.22,73,100,15.68
68,Santa Rosa,PH,2023-01-25 23:56:22,14.3122,121.1114,79.02,75,79,13.24
69,Dikson,RU,2023-01-25 23:59:47,73.5069,80.5464,0.84,94,100,21.88
70,Salta,AR,2023-01-25 23:56:34,-24.7859,-65.4117,68.59,89,100,3.44
71,Livingston,GB,2023-01-25 23:56:17,55.9029,-3.5226,39.27,85,0,5.75
72,Ekhabi,RU,2023-01-25 23:59:47,53.5102,142.9671,-3.68,90,100,23.76
73,Puerto Ayora,EC,2023-01-25 23:51:40,-0.7393,-90.3518,77.56,91,90,7.0
74,Bhinmal,IN,2023-01-25 23:59:48,25.0,72.25,48.52,25,3,9.44
75,Quesnel,CA,2023-01-25 23:57:51,52.9999,-122.5029,34.3,100,100,2.3
76,Morro Bay,US,2023-01-25 23:59:48,35.3658,-120.8499,65.34,48,0,8.61
77,Mabaruma,GY,2023-01-25 23:59:48,8.2,-59.7833,70.63,93,15,3.13
78,Ingham,US,2023-01-25 23:59:49,42.6,-84.3833,31.95,94,100,10.36
79,Byron Bay,AU,2023-01-25 23:59:49,-28.65,153.6167,86.18,61,29,5.46
80,Cockburn Town,TC,2023-01-25 23:59:49,21.4612,-71.1419,76.96,73,40,11.5
81,Liwale,TZ,2023-01-25 23:59:50,-9.7667,37.9333,70.25,99,100,3.47
82,Key Largo,US,2023-01-25 23:59:41,25.0865,-80.4473,76.98,84,0,7.85
83,Tura,IN,2023-01-25 23:59:50,25.5198,90.2201,59.47,52,72,2.68
84,Manuk Mangkaw,PH,2023-01-25 23:59:50,4.8,119.85,80.06,74,100,3.65
85,Plettenberg Bay,ZA,2023-01-25 23:59:51,-34.0527,23.3716,64.15,74,0,1.95
86,Eureka,US,2023-01-25 23:59:27,40.8021,-124.1637,60.21,71,0,1.99
87,Severo-Kurilsk,RU,2023-01-25 23:59:51,50.6789,156.125,25.88,89,100,14.45
88,Lujan,AR,2023-01-25 23:59:51,-34.5703,-59.105,81.05,80,20,15.08
89,Kavaratti,IN,2023-01-25 23:59:51,10.5669,72.642,79.39,78,77,16.15
90,Avarua,CK,2023-01-25 23:59:52,-21.2078,-159.775,82.45,78,40,9.22
91,Vaini,TO,2023-01-25 23:59:52,-21.2,-175.2,84.36,84,40,8.05
92,Shiringushi,RU,2023-01-26 00:00:52,53.8485,42.7676,16.36,91,13,9.22
93,Hermanus,ZA,2023-01-26 00:00:53,-34.4187,19.2345,60.8,75,57,8.3
94,Mahebourg,MU,2023-01-25 23:51:35,-20.4081,57.7,76.24,94,75,10.36
95,Butaritari,KI,2023-01-26 00:00:53,3.0707,172.7902,81.16,78,86,20.4
96,Port Alfred,ZA,2023-01-26 00:00:54,-33.5906,26.891,67.17,91,56,1.01
97,Kathmandu,NP,2023-01-26 00:00:06,27.7167,85.3167,50.85,78,40,3.44
98,Salitral,PE,2023-01-26 00:00:54,-4.8572,-80.6811,81.25,53,64,17.2
99,Arrifes,PT,2023-01-26 00:00:54,37.7667,-25.7,57.45,72,75,12.66
100,Ponta Do Sol,PT,2023-01-26 00:00:08,32.6667,-17.1,61.72,59,11,11.25
101,San Vicente,AR,2023-01-26 00:00:55,-26.6167,-54.1333,79.43,41,82,1.92
102,Dubuque,US,2023-01-25 23:59:17,42.4833,-90.8668,32.63,77,100,5.01
103,Vestmanna,FO,2023-01-26 00:00:55,62.1564,-7.1664,34.72,87,75,10.36
104,Yellowknife,CA,2023-01-25 23:56:57,62.456,-114.3525,5.52,85,100,11.5
105,Sabang,ID,2023-01-26 00:00:56,5.8933,95.3214,79.48,78,90,16.82
106,Mar Del Plata,AR,2023-01-26 00:00:56,-38.0023,-57.5575,69.1,76,20,20.0
107,Hobart,AU,2023-01-25 23:58:20,-42.8794,147.3294,65.26,54,99,1.99
108,Bria,CF,2023-01-26 00:00:56,6.5423,21.9863,74.16,27,18,4.14
109,Ancud,CL,2023-01-26 00:00:26,-41.8697,-73.8203,57.0,87,91,11.16
110,Mandalgovi,MN,2023-01-26 00:00:57,45.7625,106.2708,-6.74,84,64,7.67
111,Tiksi,RU,2023-01-26 00:00:57,71.6872,128.8694,-32.37,97,100,4.59
112,Northam,GB,2023-01-26 00:00:58,51.0333,-4.2167,44.62,87,26,16.78
113,Axim,GH,2023-01-26 00:00:58,4.8699,-2.2405,79.61,87,0,6.6
114,Clyde River,CA,2023-01-26 00:00:59,70.4692,-68.5914,-12.77,70,100,13.8
115,Pisco,PE,2023-01-26 00:00:59,-13.7,-76.2167,72.01,83,59,6.67
116,Atuona,PF,2023-01-26 00:01:00,-9.8,-139.0333,78.55,75,51,15.37
117,Maxixe,MZ,2023-01-26 00:01:00,-23.8597,35.3472,78.8,63,22,13.8
118,Upernavik,GL,2023-01-26 00:01:00,72.7868,-56.1549,4.6,95,100,11.34
119,Chabahar,IR,2023-01-26 00:01:01,25.2919,60.643,59.54,32,4,11.41
120,Aksu,CN,2023-01-26 00:01:02,41.1231,80.2644,9.43,84,94,4.34
121,Gbarnga,LR,2023-01-26 00:01:04,6.9956,-9.4722,70.03,98,98,0.22
122,Sistranda,NO,2023-01-25 23:57:56,63.7256,8.834,40.96,65,97,22.95
123,Leningradskiy,RU,2023-01-26 00:01:07,69.3833,178.4167,-21.06,90,3,4.29
124,Codrington,AU,2023-01-26 00:01:10,-38.2667,141.9667,63.75,48,57,11.39
125,Yulara,AU,2023-01-26 00:01:11,-25.2406,130.9889,92.1,17,73,16.24
126,Esmeraldas,BR,2023-01-25 23:58:18,-19.7625,-44.3139,74.44,93,37,3.78
127,Shar,KZ,2023-01-26 00:01:20,49.5886,81.0453,0.82,87,89,11.41
128,Fortuna,US,2023-01-26 00:01:22,40.5982,-124.1573,61.14,72,0,8.05
129,Hilo,US,2023-01-26 00:01:23,19.7297,-155.09,81.28,78,35,5.99
130,Geraldton,AU,2023-01-25 23:51:32,-28.7667,114.6,77.41,50,25,8.05
131,Victoria,HK,2023-01-25 23:59:18,22.2855,114.1577,59.95,73,41,4.0
132,Mont-De-Marsan,FR,2023-01-26 00:01:29,44.0,-0.6667,39.78,100,100,5.75
133,Bartica,GY,2023-01-26 00:01:40,6.4,-58.6167,70.57,94,73,3.47
134,Inhambane,MZ,2023-01-26 00:01:41,-23.865,35.3833,79.38,63,24,15.3
135,Schweinfurt,DE,2023-01-26 00:01:44,50.05,10.2333,31.59,86,99,0.83
136,Salalah,OM,2023-01-26 00:02:21,17.0151,54.0924,71.29,73,72,11.95
137,Cabedelo,BR,2023-01-26 00:02:44,-6.9811,-34.8339,79.61,72,0,11.3
138,Kuna,US,2023-01-26 00:00:59,43.4918,-116.4201,40.48,70,60,9.22
139,Kapit,MY,2023-01-26 00:02:45,2.0167,112.9333,73.53,99,100,1.36
140,Bethel,US,2023-01-26 00:01:17,41.3712,-73.414,39.56,86,100,1.99
141,Marsh Harbour,BS,2023-01-26 00:02:45,26.5412,-77.0636,75.15,82,5,12.26
142,Moron,AR,2023-01-26 00:02:46,-34.6534,-58.6198,81.05,83,15,13.96
143,Esperance,AU,2023-01-26 00:02:46,-33.8667,121.9,68.54,70,61,7.85
144,Ilulissat,GL,2023-01-26 00:02:46,69.2167,-51.1,24.82,80,100,3.44
145,Kapaa,US,2023-01-26 00:02:47,22.0752,-159.319,79.12,76,40,19.57
146,Lewiston,US,2023-01-25 23:58:58,44.1003,-70.2148,26.24,92,100,1.01
147,Obo,CF,2023-01-26 00:02:47,5.3998,26.4869,74.17,34,73,4.7
148,Gamba,GA,2023-01-26 00:02:47,-2.65,10.0,78.19,86,20,7.63
